label,radial_disp_um,xdisp_mm,ydisp_mm,src_radius_mm,hits_TL,hits_ML,hits_BL,hits_TR,hits_MR,hits_BR
r100_x-2.5_y-5_R1.25,100,-2.5,-5,1.25,94788977,99322047,101463018,92308519,95191474,99932658

r100_x-2.5_y-5_R15,100,-2.5,-5,15,94778121,99467176,101364054,92432516,95170809,100046803

r100_x-2.5_y-2.5_R1.25,100,-2.5,-2.5,1.25,96428354,99392287,99777266,94155094,95261360,97947834

r100_x-2.5_y-2.5_R15,100,-2.5,-2.5,15,96392137,99543838,99704728,94256128,95242281,98075246

r100_x-2.5_y0_R1.25,100,-2.5,0,1.25,98096973,99430488,98104020,96013994,95301176,96040588

r100_x-2.5_y0_R15,100,-2.5,0,15,98049598,99552297,98064254,96145134,95278658,96148007

r100_x-2.5_y2.5_R1.25,100,-2.5,2.5,1.25,99762669,99398055,96470161,97949810,95279380,94175069

r100_x-2.5_y2.5_R15,100,-2.5,2.5,15,99700427,99512115,96423704,98076170,95244499,94269658

r100_x-2.5_y5_R1.25,100,-2.5,5,1.25,101431057,99346803,94835670,99901674,95216108,92306149

r100_x-2.5_y5_R15,100,-2.5,5,15,101380133,99460280,94791103,100018401,95180022,92421375

r100_x0_y-5_R1.25,100,0,-5,1.25,93941613,97068446,100436996,93327296,97066521,101134365

r100_x0_y-5_R15,100,0,-5,15,93931101,97179280,100380530,93454381,97030328,101263782

r100_x0_y-2.5_R1.25,100,0,-2.5,1.25,95532897,97124884,98812701,95251782,97136155,99131795

r100_x0_y-2.5_R15,100,0,-2.5,15,95491160,97236068,98752476,95358485,97089725,99252661

r100_x0_y0_R1.25,100,0,0,1.25,97172991,97166349,97191300,97161419,97129994,97140852

r100_x0_y0_R15,100,0,0,15,97109189,97257453,97139551,97263578,97123899,97280618

r100_x0_y2.5_R1.25,100,0,2.5,1.25,98803578,97126446,95559234,99116709,97127947,95212492

r100_x0_y2.5_R15,100,0,2.5,15,98757942,97261051,95525693,99239712,97099037,95335045

r100_x0_y5_R1.25,100,0,5,1.25,100464916,97060063,93956572,101129141,97066720,93338411

r100_x0_y5_R15,100,0,5,15,100379779,97185732,93935093,101247732,97033885,93444461

r100_x2.5_y-5_R1.25,100,2.5,-5,1.25,93086815,94850619,99404993,94368250,98964644,102336235

r100_x2.5_y-5_R15,100,2.5,-5,15,93037120,94963734,99356122,94482751,98905590,102477062

r100_x2.5_y-2.5_R1.25,100,2.5,-2.5,1.25,94620848,94913033,97795235,96306169,99036025,100290050

r100_x2.5_y-2.5_R15,100,2.5,-2.5,15,94611956,95032139,97759485,96416714,98988648,100399333

r100_x2.5_y0_R1.25,100,2.5,0,1.25,96212601,94949879,96228039,98244780,99043127,98253336

r100_x2.5_y0_R15,100,2.5,0,15,96187288,95054973,96171396,98407149,98993836,98354064

r100_x2.5_y2.5_R1.25,100,2.5,2.5,1.25,97817269,94903801,94627979,100276133,99039709,96287867

r100_x2.5_y2.5_R15,100,2.5,2.5,15,97767072,95032672,94600716,100424774,98973368,96370997

r100_x2.5_y5_R1.25,100,2.5,5,1.25,99434541,94848761,93085948,102348938,98945319,94338317

r100_x2.5_y5_R15,100,2.5,5,15,99371276,94959996,93046755,102474457,98921515,94444405

r100_x5_y-5_R1.25,100,5,-5,1.25,92153752,92731147,98358382,95364598,100874266,103522948

r100_x5_y-5_R15,100,5,-5,15,92137706,92821692,98310492,95481090,100846175,103652855

r100_x5_y-2.5_R1.25,100,5,-2.5,1.25,93689173,92769447,96788324,97334098,100976623,101391586

r100_x5_y-2.5_R15,100,5,-2.5,15,93661282,92886625,96756270,97468650,100897451,101529804

r100_x5_y0_R1.25,100,5,0,1.25,95239551,92816006,95245053,99372197,100970239,99316291

r100_x5_y0_R15,100,5,0,15,95197119,92900157,95208886,99481451,100927467,99446426

r100_x5_y2.5_R1.25,100,5,2.5,1.25,96805771,92770568,93698438,101404118,100950643,97292249

r100_x5_y2.5_R15,100,5,2.5,15,96764273,92884114,93659172,101570525,100891501,97412980

r100_x5_y5_R1.25,100,5,5,1.25,98392036,92712858,92161198,103563419,100878689,95321409

r100_x5_y5_R15,100,5,5,15,98329953,92812224,92153517,103676573,100813890,95407095

r400_x-5_y-5_R1.25,400,-5,-5,1.25,95403416,101401106,102176991,91022930,93189001,98402620

r400_x-5_y-5_R15,400,-5,-5,15,95374147,101506785,102112603,91128564,93166910,98538407

r400_x-5_y-2.5_R1.25,400,-5,-2.5,1.25,97076130,101479422,100480167,92823320,93232397,96530814

r400_x-5_y-2.5_R15,400,-5,-2.5,15,97014592,101599201,100426880,92899992,93193028,96625337

r400_x-5_y0_R1.25,400,-5,0,1.25,98749096,101501241,98777006,94617937,93269668,94647034

r400_x-5_y0_R15,400,-5,0,15,98716144,101618190,98724924,94727230,93230749,94765232

r400_x-5_y2.5_R1.25,400,-5,2.5,1.25,100457982,101465363,97116886,96484126,93237928,92831078

r400_x-5_y2.5_R15,400,-5,2.5,15,100393278,101594307,97072381,96593142,93225608,92948428

r400_x-5_y5_R1.25,400,-5,5,1.25,102177460,101402962,95456805,98366784,93167333,91049150

r400_x-5_y5_R15,400,-5,5,15,102120154,101507055,95407201,98490488,93152565,91142384

r400_x-2.5_y-5_R1.25,400,-2.5,-5,1.25,94577164,99051289,101205621,92078440,94995401,99647880

r400_x-2.5_y-5_R15,400,-2.5,-5,15,94541042,99174810,101141764,92189986,94971655,99780847

r400_x-2.5_y-2.5_R1.25,400,-2.5,-2.5,1.25,96227966,99137011,99544544,93906699,95074437,97692917

r400_x-2.5_y-2.5_R15,400,-2.5,-2.5,15,96174017,99245285,99487606,94008178,95025351,97805611

r400_x-2.5_y0_R1.25,400,-2.5,0,1.25,97867825,99143097,97889762,95764115,95092575,95770265

r400_x-2.5_y0_R15,400,-2.5,0,15,97807235,99283235,97828182,95888972,95030840,95880578

r400_x-2.5_y2.5_R1.25,400,-2.5,2.5,1.25,99517156,99120288,96244475,97676362,95062565,93907982

r400_x-2.5_y2.5_R15,400,-2.5,2.5,15,99483453,99260765,96200876,97800946,95024397,94011511

r400_x-2.5_y5_R1.25,400,-2.5,5,1.25,101205695,99052578,94617537,99614133,94998691,92074896

r400_x-2.5_y5_R15,400,-2.5,5,15,101142547,99173832,94575403,99752941,94959596,92170079

r400_x0_y-5_R1.25,400,0,-5,1.25,93726604,96798921,100212383,93106682,96847010,100857489

r400_x0_y-5_R15,400,0,-5,15,93690987,96903123,100148325,93211222,96806241,100980711

r400_x0_y-2.5_R1.25,400,0,-2.5,1.25,95319959,96856338,98570410,94982323,96921977,98863043

r400_x0_y-2.5_R15,400,0,-2.5,15,95296558,96969489,98519130,95092351,96880688,98981659

r400_x0_y0_R1.25,400,0,0,1.25,96932574,96859852,96948303,96891893,96944018,96892194

r400_x0_y0_R15,400,0,0,15,96894274,97007370,96925789,96996028,96904778,97011012

r400_x0_y2.5_R1.25,400,0,2.5,1.25,98563893,96870539,95335744,98835710,96921763,94947089

r400_x0_y2.5_R15,400,0,2.5,15,98525629,96970549,95314079,98963502,96861557,95094289

r400_x0_y5_R1.25,400,0,5,1.25,100214047,96808360,93729653,100844790,96833792,93075883

r400_x0_y5_R15,400,0,5,15,100173386,96922965,93714061,100972501,96792254,93210224

r400_x2.5_y-5_R1.25,400,2.5,-5,1.25,92859725,94604291,99190867,94103809,98736431,102038725

r400_x2.5_y-5_R15,400,2.5,-5,15,92839140,94708426,99132803,94225272,98676176,102156282

r400_x2.5_y-2.5_R1.25,400,2.5,-2.5,1.25,94424250,94651098,97573420,96036890,98822524,99978634

r400_x2.5_y-2.5_R15,400,2.5,-2.5,15,94380062,94768406,97526495,96146579,98758651,100113869

r400_x2.5_y0_R1.25,400,2.5,0,1.25,95993607,94696593,95991251,97994772,98818004,97975351

r400_x2.5_y0_R15,400,2.5,0,15,95965678,94806294,95965757,98122683,98789923,98089300

r400_x2.5_y2.5_R1.25,400,2.5,2.5,1.25,97584728,94670482,94409297,100005173,98801995,96023994

